"Advanced configuration","Advanced configuration"
"La Poste Colissimo","La Poste Colissimo"
"La Poste Colissimo Advanced Setup","La Poste Colissimo Advanced Setup"
"General configuration","General configuration"
"User name of your account for La Poste webservices","User name of your account for La Poste webservices"
"Password","Password"
"Password to connect to La Poste webservices and use the module","Password to connect to La Poste webservices and use the module"
"Labels","Labels"
"Outward label print format","Outward label print format"
"Return label print format","Return label print format"
"(none)","(none)"
"Delegate label generation to ColiShip?","Delegate label generation to ColiShip?"
"If enabled, this module will not automatically generate label for each Colissimo shipment.","If enabled, this module will not automatically generate label for each Colissimo shipment."
"Order status after label generation","Order status after label generation"
"Use cash on delivery?","Use cash on delivery?"
"If enabled, each label generation will use cash on delivery feature by default.","If enabled, each label generation will use cash on delivery feature by default."
"Average preparation delay","Average preparation delay"
"Your average delay for preparation of a shipment, in days.","Your average delay for preparation of a shipment, in days."
"Registered mail level","Registered mail level"
"Use Customs Declarations?","Use Customs Declarations?"
"If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default.","If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default."
"Check IDs","Check IDs"
"Bad credentials.","Bad credentials."
"Credentials are valid.","Credentials are valid."
"User Name validation","User Name validation"
"Check that IDs are valid.","Check that IDs are valid."
"Automatically create return label at the same time as the outward label","Automatically create return label at the same time as the outward label"
"If you don't activate this option, you can still manually create return labels on order shipping page","If you don't activate this option, you can still manually create return labels on order shipping page"
"Show service information on return label","Show service information on return label"
"Service information","Service information"
"Show order reference on return label","Show order reference on return label"
"Area","Area"
"Cart weight/price starting from","Cart weight/price starting from"
"Price","Price"
"Configure the shipment prices to apply for each destination and cart weight / price you want to enable","Configure the shipment prices to apply for each destination and cart weight / price you want to enable"
"Colissimo Domicile without signature","Colissimo Domicile without signature"
"Colissimo Domicile with signature","Colissimo Domicile with signature"
"Colissimo Point Retrait","Colissimo Point Retrait"
"Colissimo International","Colissimo International"
"Enable the Colissimo Domicile without signature mode","Enable the Colissimo Domicile without signature mode"
"Enable the Colissimo Domicile with signature mode","Enable the Colissimo Domicile with signature mode"
"Enable the Colissimo Point Retrait mode","Enable the Colissimo Point Retrait mode"
"Enable the Colissimo International mode","Enable the Colissimo International mode"
"Setup","Setup"
"Name","Name"
"New slice","New slice"
"Return labels","Return labels"
"Yes","Yes"
"No","No"
"Order","Order"
"Order Date","Order Date"
"Purchased From","Purchased From"
"Customer","Customer"
"Street","Street"
"Post Code","Post Code"
"City","City"
"Country","Country"
"Reference","Reference"
"Shipping Description","Shipping Description"
"Unknown status: %1","Unknown status: %1"
"Tracking number","Tracking number"
"Update Colissimo Statuses","Update Colissimo Statuses"
"Web service returns 0 relay","Web service returns 0 relay"
"No relay available","No relay available"
"Zipcode required to get relay points","Zipcode required to get relay points"
"The international option can't be enable if the country destination is France","The international option can't be enable if the country destination is France"
"Shipping date required to get relay points","Shipping date required to get relay points"
"Country code required to get relay points","Country code required to get relay points"
"City required to get relay points","City required to get relay points"
"At","At"
"Choose","Choose"
"Search","Search"
"Zipcode","Zipcode"
"Address","Address"
"Free shipping","Free shipping"
"Should the shipping method be free","Should the shipping method be free"
"All statuses where updated","All statuses where updated"
"Some status were not correctly updated. Check logs for more details.","Some status were not correctly updated. Check logs for more details."
"Tracking information for order","Tracking information for order"
"Shipping method:","Shipping method:"
"Change your shipping information and options","Change your shipping information and options"
"Parcel","Parcel"
"Status Date","Status Date"
"Status","Status"
"Details","Details"
"Print outward label","Print outward label"
"Relay point","Relay point"
"Display mode","Display mode"
"Choose between the standard display mode from Colissimo (Widget) and the customizable ones (Google Maps or Open Street Maps)","Choose between the standard display mode from Colissimo (Widget) and the customizable ones (Google Maps or Open Street Maps)"
"Debug and Development","Debug and Development"
"Debug Mode","Debug Mode"
"This option should only be activated shortly to debug this module.","This option should only be activated shortly to debug this module."
"Log information lifetime (days)","Log information lifetime (days)"
"Delay before deleting log information. Use 0 or leave empty to disable.","Delay before deleting log information. Use 0 or leave empty to disable."
"See last logs","See last logs"
"Colissimo","Colissimo"
"Print inward label","Print inward label"
"While generating label for shipment #%1: ","While generating label for shipment #%1: "
"Inward shipping label have been generated.","Inward shipping label have been generated."
"Order status to generate label","Order status to generate label"
"Order status where a label can be generated.","Order status where a label can be generated."
"Order status after giving parcel to carrier","Order status after giving parcel to carrier"
"Order status to apply when the parcel has been delivered to the carrier.","Order status to apply when the parcel has been delivered to the carrier."
"Generate outward shipping label","Generate outward shipping label"
"Generate inward shipping label","Generate inward shipping label"
"MailBox picking return","MailBox picking return"
"Address from which the return will be from:","Address from which the return will be from:"
"Allow MailBox Pickup","Allow MailBox Pickup"
"Check that this address is allowed for MailBox picking return","Check that this address is allowed for MailBox picking return"
"Confirm Pick-Up","Confirm Pick-Up"
"MailBox pick-up","MailBox pick-up"
"Only France is allowed","Only France is allowed"
"Please confirm before today %s that you will put the parcel in the MailBox described previously, before the %s at %s.","Please confirm before today %s that you will put the parcel in the MailBox described previously, before the %s at %s."
"Retrieval address","Retrieval address"
"This address is not eligible for MailBox pick-up.","This address is not eligible for MailBox pick-up."
"When activated, customers will be allowed to automatically create return labels and use them to return the parcel from their MailBox.","When activated, customers will be allowed to automatically create return labels and use them to return the parcel from their MailBox."
"You may change the address the return will be made from via the following fields:","You may change the address the return will be made from via the following fields:"
"Your shipment was initially sent to the following address:","Your shipment was initially sent to the following address:"
"Error during IDs checking","Error during IDs checking"
"An error occured while confirming this pick-up!","An error occured while confirming this pick-up!"
"An error occured while generating the return tracking number!","An error occured while generating the return tracking number!"
"Modify my relay","Modify my relay"
"Confirm relay","Confirm relay"
"Do you confirm the shipment to this relay:","Do you confirm the shipment to this relay:"
"Please choose a relay for this shipping method","Please choose a relay for this shipping method"
"Choose this relay","Choose this relay"
"The window to choose your pickup point is currently unavailable. Please refresh the page and try again. If the problem persists, please contact the website administrator.","The window to choose your pickup point is currently unavailable. Please refresh the page and try again. If the problem persists, please contact the website administrator."
"Generate a Delivery docket","Generate a Delivery docket"
"Bordereau","Bordereau"
"Bordereau Number","Bordereau Number"
"Code Site PCH","Code Site PCH"
"Number of parcels","Number of parcels"
"Parcels Numbers","Parcels Numbers"
"Download Bordereau","Download Bordereau"
"Publishing date","Publishing date"
"Unable to generate delivery docket","Unable to generate delivery docket"
"Delivery docket has been generated.","Delivery docket has been generated."
"Bad output format","Bad output format"
"Weight cannot be negative!","Weight cannot be negative!"
"RecommendationLevel and InsuranceValue are mutually incompatible.","RecommendationLevel and InsuranceValue are mutually incompatible."
"Bad recommendation level","Bad recommendation level"
"The ProductCode used requires that a pickupLocationId is set!","The ProductCode used requires that a pickupLocationId is set!"
"The ProductCode used requires that a pickupLocationId is *not* set!","The ProductCode used requires that a pickupLocationId is *not* set!"
"The ProductCode used requires that a commercialName is set!","The ProductCode used requires that a commercialName is set!"
"companyName must be set in Sender address!","companyName must be set in Sender address!"
"line2 must be set in Sender address!","line2 must be set in Sender address!"
"countryCode must be set in Sender address!","countryCode must be set in Sender address!"
"zipCode must be set in Sender address!","zipCode must be set in Sender address!"
"city must be set in Sender address!","city must be set in Sender address!"
"companyName or (firstName + lastName) must be set in Addressee address!","companyName or (firstName + lastName) must be set in Addressee address!"
"companyName must be set in Addressee address for return label!","companyName must be set in Addressee address for return label!"
"line2 must be set in Addressee address!","line2 must be set in Addressee address!"
"countryCode must be set in Addressee address!","countryCode must be set in Addressee address!"
"zipCode must be set in Addressee address!","zipCode must be set in Addressee address!"
"city must be set in Addressee address!","city must be set in Addressee address!"
"Colissimo relay","Colissimo relay"
"Status history","Status history"
"Anomaly","Anomaly"
"Colissimo","Colissimo"
"ColiShip","ColiShip"
"Generate ColiShip export","Generate ColiShip export"
"ColiShip export functionalities are only available when ColiShip is used in the configuration.","ColiShip export functionalities are only available when ColiShip is used in the configuration."
