"Advanced configuration","Configuration avancée"
"La Poste Colissimo","La Poste Colissimo"
"La Poste Colissimo Advanced Setup","La Poste Colissimo Configuration Avancée"
"General configuration","Configuration générale"
"User name of your account for La Poste webservices","Identifiant de votre compte pour les webservices La Poste"
"Password","Mot de passe"
"Password to connect to La Poste webservices and use the module","Mot de passe pour se connecter aux webservies de La Poste et utiliser le module"
"Labels","Etiquettes"
"Outward label print format","Format d'impression des étiquettes aller"
"Return label print format","Format d'impression des étiquettes retour"
"(none)","(aucun)"
"Delegate label generation to ColiShip?","Déléguer la génération des étiquettes à ColiShip ?"
"If enabled, this module will not automatically generate label for each Colissimo shipment.","Si activé, ce module ne générera pas d'étiquette pour les livraisons Colissimo."
"Order status after label generation","Statut des commandes après generation de l'étiquette."
"Use cash on delivery?","Utiliser le Contre-Remboursement ?"
"If enabled, each label generation will use cash on delivery feature by default.","Si activé, les étiquettes automatiquement générées utiliseront le mode Contre-Remboursement."
"Average preparation delay","Délai moyen de préparation"
"Your average delay for preparation of a shipment, in days.","Votre délai moyen de préparation d'une livraison, en jours."
"Registered mail level","Niveau de recommandation"
"Use Customs Declarations?","Générer la déclaration douanes (CN23) ?"
"If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default.","Si actif, chaque étiquette le nécessitant sera accompagné du formulaire CN23 correspondant."
"Check IDs","Vérifier les identifiants"
"Bad credentials.","Les identifiants ne sont pas corrects."
"Credentials are valid.","Les identifiants sont corrects."
"User Name validation","Validation des identifiants"
"Check that IDs are valid.","Vérifie que les identifiants sont corrects."
"Automatically create return label at the same time as the outward label","Créer automatiquement l'étiquette de retour lors de la génération de l'étiquette aller"
"If you don't activate this option, you can still manually create return labels on order shipping page","Si vous n'activez pas cette option, vous pouvez toujours créer des étiquettes de retour sur la page d'expédition de la commande"
"Show service information on return label","Afficher le nom du service de retour sur l'étiquette de retour"
"Service information","Nom du service de retour"
"Show order reference on return label","Afficher le numéro de commande sur l'étiquette de retour"
"Area","Zone"
"Cart weight/price starting from","Poids/prix panier à partir de"
"Price","Prix"
"Configure the shipment prices to apply for each destination and cart weight / price you want to enable","Configurez les prix de livraison à appliquer par destination et tranche de poids / prix du panier que vous voulez activer"
"Colissimo Domicile without signature","Colissimo Domicile sans signature"
"Colissimo Domicile with signature","Colissimo Domicile avec signature"
"Colissimo Point Retrait","Colissimo Point Retrait"
"Colissimo International","Colissimo International"
"Enable the Colissimo Domicile without signature mode","Activer la méthode Colissimo Domicile sans signature"
"Enable the Colissimo Domicile with signature mode","Activer la méthode Colissimo Domicile avec signature"
"Enable the Colissimo Point Retrait mode","Activer la méthode Colissimo Point Retrait"
"Enable the Colissimo International mode","Activer la méthode Colissimo International"
"Setup","Configuration"
"Name","Nom"
"New slice","Nouvelle tranche"
"Return labels","Etiquettes de retour"
"Yes","Oui"
"No","Non"
"Order","Commande"
"Order Date","Date de la commande"
"Purchased From","Acheté sur"
"Customer","Client"
"Street","Rue"
"Post Code","Code postal"
"City","Ville"
"Country","Pays"
"Reference","Référence"
"Shipping Description","Méthode de livraison"
"Unknown status: %1","Statut inconnu : %1"
"Tracking number","Etiquette"
"Update Colissimo Statuses","Mettre à jour les statuts Colissimo"
"Web service returns 0 relay","Le web service n'a pas retourné de point de retrait"
"No relay available","Pas de point de retrait disponible"
"Zipcode required to get relay points","Le code postal est requis pour les points de retrait"
"The international option can't be enable if the country destination is France","L'option international ne peut être activée si le pays de destination est la France"
"Shipping date required to get relay points","La date d'expédition est requise pour les points de retrait"
"Country code required to get relay points","Le code pays est requis pour les points de retrait"
"City required to get relay points","La ville est requise pour les points de retrait"
"At","À"
"Choose","Choisir"
"Search","Chercher"
"Zipcode","Code postal"
"Address","Adresse"
"Free shipping","Livraison gratuite"
"Should the shipping method be free","Activer la gratuité pour la méthode de livraison"
"All statuses where updated","Tous les statuts ont étés mis à jour"
"Some status were not correctly updated. Check logs for more details.","Certains statuts n'ont pas pu être mis à jour. Voir les logs pour plus de détails."
"Tracking information for order","Information de suivis de la commande"
"Shipping method:","Méthode de livraison :"
"Change your shipping information and options","Modifier votre livraison"
"Parcel","Colis"
"Status Date","Date du statut"
"Status","Statut"
"Details","Détails"
"Print outward label","Imprimer l'étiquette aller"
"Relay point","Point de retrait"
"Display mode","Mode d'affichage"
"Choose between the standard display mode from Colissimo (Widget) and the customizable ones (Google Maps or Open Street Maps)","Choisissez entre le mode d'affichage standard de Colissimo (Widget) et ceux customisables (Google Maps ou Open Street Maps)"
"Debug and Development","Debug et Développement"
"Debug Mode","Mode Debug"
"This option should only be activated shortly to debug this module.","Cette option ne doit être activée que pour une courte période, pour obtenir plus d'information dans les journaux (log) pour ce module."
"Log information lifetime (days)","Durée de vie des journaux (jours)"
"Delay before deleting log information. Use 0 or leave empty to disable.","Délai avant suppression des journaux. Utilisez 0 ou laissez vide pour désactiver."
"See last logs","Voir les derniers logs"
"Shipments","Envois"
"Print inward label","Imprimer l'étiquette retour"
